TIMESTAMP,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_NT_VUT_REF,GPP_DT_VUT_REF,SIF_GOME,SIF_GOME_NORM,,GPP_NT_VUT_25,,GPP_NT_VUT_75,GPP_DT_VUT_25,GPP_DT_VUT_75
199801,1.31455,1.29197,1.37234,1.52448,1.02347,0.921711,0.971626,1.04182,0.196822555,0.036872684,-9999,-9999,,0.194265,,0.246207,0.0328325,0.0611857
199802,1.08748,1.08055,1.19056,1.25148,1.37814,1.1719,1.23571,1.29787,0.182258143,0.201883138,-9999,-9999,,0.186357,,0.306952,0.15739,0.184278
199803,1.43252,1.4228,1.51174,1.54971,1.21869,1.23906,1.3487,1.4649,0.264226994,0.257726397,-9999,-9999,,0.256943,,0.299353,0.234955,0.332325
199804,2.51072,2.50745,2.55194,2.69853,2.66002,2.62851,2.71408,2.85097,1.298815867,1.429056633,-9999,-9999,,1.25089,,1.34095,1.36727,1.44223
199805,4.37007,4.32649,4.39571,4.77226,3.76135,3.56793,3.80781,4.11418,4.587837742,4.157980516,-9999,-9999,,4.55393,,4.9827,4.02065,4.24483
199806,4.18755,4.16413,4.24534,4.6742,5.07868,5.21051,5.38249,6.32404,8.086396667,8.037802667,-9999,-9999,,7.60075,,7.94289,8.03075,8.64481
199807,5.76228,5.30113,5.7548,6.15303,5.66479,6.36414,6.87393,7.79729,9.966890645,9.847748065,-9999,-9999,,9.55213,,10.162,10.2149,10.9475
199808,4.31273,4.27241,4.31738,4.48177,5.27337,5.45328,5.94805,6.50262,7.665832903,8.679041613,-9999,-9999,,7.64982,,7.80746,8.73263,9.12149
199809,3.70566,3.64481,3.70028,3.76502,3.88203,3.1982,3.48001,3.74801,5.090423333,5.478587667,-9999,-9999,,5.05888,,5.25012,5.12048,5.46996
199810,2.52932,2.52812,2.54313,2.67097,2.28717,2.00241,2.12107,2.25889,1.181388784,1.552401613,-9999,-9999,,1.02827,,1.14352,1.38571,1.58398
199811,2.54685,2.54685,2.57145,2.65276,2.23597,1.92179,2.27394,2.71989,0.552836947,0.296317327,-9999,-9999,,0.411273,,0.509767,0.253238,0.42965
199812,1.67729,1.67133,1.82834,1.91563,1.6094,1.58177,1.73922,1.77585,0.106821648,0.168752242,-9999,-9999,,0.0798995,,0.118886,0.0788932,0.16936
199901,0.983511,0.911755,0.974119,0.996622,0.943838,0.944236,1.0374,1.09288,-0.103163304,0.045131013,-9999,-9999,,-0.114543,,-0.0769681,0.0384368,0.0646871
199902,1.01456,0.973846,1.02813,1.05835,1.0565,1.06721,1.1061,1.18953,-0.1326099,0.01026284,-9999,-9999,,-0.168643,,-0.120876,0.0102628,0.0362987
199903,1.28644,1.23129,1.27426,1.30645,0.98203,0.96968,0.990741,1.04481,0.317028265,0.204772932,-9999,-9999,,0.286968,,0.323113,0.197504,0.244292
199904,2.0843,2.00157,2.05156,2.08417,1.55669,1.57919,1.60371,1.66364,1.1660706,0.8112794,-9999,-9999,,1.17486,,1.23962,0.801872,0.851325
199905,3.88054,3.83644,3.88306,3.95064,3.34194,3.47205,3.58554,3.71923,3.866637419,3.251550645,-9999,-9999,,3.89963,,3.97124,3.27914,3.49074
199906,4.97229,4.76811,4.86165,5.01495,4.35557,4.28425,4.60379,5.10759,11.17579367,10.50748033,-9999,-9999,,10.9407,,11.3297,10.3959,11.0497
199907,7.05699,5.70884,5.98934,6.67696,6.10869,5.38824,5.98291,6.26798,10.79096548,11.16714935,-9999,-9999,,10.0673,,10.7708,10.7082,11.2153
199908,4.26671,4.26671,4.43813,4.56586,5.36614,4.91506,5.3641,6.05159,7.675112581,8.311287419,-9999,-9999,,7.5476,,7.66594,8.00102,8.72681
199909,5.83991,5.54858,6.35982,6.4816,5.93083,5.85993,6.31557,7.04304,6.067092967,6.656913,-9999,-9999,,6.09437,,6.58449,6.51881,6.82273
199910,2.7415,2.723,2.75265,2.86783,2.2378,2.09681,2.21569,2.37427,2.175799381,2.043402677,-9999,-9999,,2.16866,,2.21207,2.03541,2.20635
199911,2.90124,2.90124,2.94867,3.10634,2.90757,2.84167,2.88302,2.92942,0.50763007,0.536866553,-9999,-9999,,0.497202,,0.562118,0.503173,0.542153
199912,1.85656,1.82885,1.85709,1.89505,1.14809,1.13357,1.1462,1.17695,0.197386153,0.212208665,-9999,-9999,,0.15217,,0.179421,0.198191,0.216578
200001,1.46733,1.22599,1.47784,1.70764,1.31315,1.31308,1.33164,1.67394,0.047223197,0.002611801,-9999,-9999,,-0.168727,,0.260808,0.00202124,0.00232331
200002,1.23941,0.976846,1.2533,1.51254,1.33321,1.32611,1.33015,1.34987,-0.169073884,0.043381874,-9999,-9999,,-0.368676,,0.0990916,0.042734,0.045839
200003,1.91275,1.80856,1.92796,2.06433,2.04128,1.66887,1.72637,2.08441,0.772834029,0.871426516,-9999,-9999,,0.602437,,0.747928,0.546855,0.880441
200004,2.58251,2.53646,2.59759,2.77528,2.34506,2.33314,2.50905,2.61855,1.395509433,1.5640166,-9999,-9999,,1.38618,,1.4765,1.37641,1.56402
200005,6.80566,6.71009,6.95204,7.09082,4.93917,4.85716,5.06043,5.31857,5.252519323,3.986766774,-9999,-9999,,5.19456,,5.25464,3.7518,4.00335
200006,5.57185,5.52731,5.60013,5.66202,5.74332,5.25221,5.62526,5.81256,10.28883667,10.07282733,-9999,-9999,,9.98902,,10.2392,9.56897,10.3628
200007,6.00899,5.38892,5.64938,5.84991,6.46436,5.42164,6.06964,6.46436,11.46485677,11.65168484,-9999,-9999,,10.9112,,11.5013,10.8915,11.4639
200008,6.52977,5.11747,6.4195,6.49734,8.49697,5.22419,5.78063,6.73911,10.29688,12.04923839,-9999,-9999,,9.46205,,10.7749,9.60619,10.6336
200009,4.42458,4.30348,4.35228,4.40215,3.81508,3.94676,4.23811,4.70619,7.431682333,7.092303,-9999,-9999,,7.36205,,7.47354,7.26185,7.65847
200010,2.7833,2.72871,2.96465,3.06533,2.4057,2.59216,2.98817,3.36189,2.121937032,2.51112371,-9999,-9999,,2.16615,,2.49488,2.42032,2.76168
200011,1.88153,1.85922,2.02366,2.53098,1.45906,1.46325,1.87966,2.28933,0.374181867,0.34958781,-9999,-9999,,0.390104,,0.802833,0.364917,0.566315
200012,0.797454,0.737166,0.775762,0.817022,1.50976,0.778791,0.950987,1.59009,-0.154876766,0.18396916,-9999,-9999,,-0.167199,,-0.0200253,0.0314447,0.207467
200101,1.17492,1.10387,1.22294,1.24597,1.1005,1.10019,1.10487,1.15843,-0.102036474,0.005305358,-9999,-9999,,-0.117831,,-0.0774947,0.000950175,0.00554973
200102,1.3752,1.31876,1.43832,1.50312,1.94345,1.96875,2.09168,2.3439,-0.142326439,0.130766954,-9999,-9999,,-0.159017,,-0.134772,0.122475,0.164238
200103,1.47805,1.42856,1.60655,1.74012,1.64315,1.55273,1.62308,1.64256,-0.025006414,0.069450429,-9999,-9999,,-0.00987006,,0.143327,0.00824615,0.0694052
200104,2.90405,2.45456,3.17443,3.22271,2.07996,2.0694,2.48984,2.77123,0.947601274,0.986131074,-9999,-9999,,1.01103,,1.45578,0.959083,1.38283
200105,4.79632,4.25493,4.72298,4.91011,3.64608,3.79384,4.18366,4.39861,4.891005258,4.650629032,-9999,-9999,,4.891,,5.31921,4.74562,5.1737
200106,6.25449,5.35624,6.04328,6.2684,6.09112,6.06401,6.40061,6.86099,11.618537,11.37219733,-9999,-9999,,10.7588,,11.5917,11.3461,11.9079
200107,4.86213,4.70928,5.04487,5.28951,5.25462,5.23913,5.40156,5.66066,12.1878,12.63387032,-9999,-9999,,12,,12.3507,12.2965,12.6659
200108,4.33769,4.33769,4.61203,5.05481,4.54215,4.54215,4.94652,6.12668,10.42903903,10.86427677,-9999,-9999,,10.5028,,11.4148,10.7324,11.6196
200109,4.16973,4.17077,4.22682,4.26862,5.01054,5.24073,5.50358,6.41984,7.624876333,8.279843667,-9999,-9999,,7.64502,,8.10543,8.50771,9.51477
200110,2.7963,2.78558,2.90226,3.15559,2.59754,2.58699,2.68882,2.98644,2.770180548,2.738830613,-9999,-9999,,2.76881,,2.84069,2.72271,2.85623
200111,2.8488,2.79991,3.02579,3.2413,2.42214,2.44182,2.53671,2.69272,0.529851027,0.421388103,-9999,-9999,,0.531846,,0.72957,0.426045,0.569275
200112,1.92597,1.88117,2.04603,2.51124,1.71536,1.71051,1.86776,2.26337,0.175074719,0.413980839,-9999,-9999,,0.172613,,0.360548,0.412416,0.673739
200201,1.88077,1.79896,1.9092,2.12515,1.37788,1.18004,1.38297,1.41915,0.106410994,0.200170413,-9999,-9999,,0.232506,,0.329701,0.162252,0.229289
200202,1.95715,1.9395,2.05201,2.23967,1.42822,1.22315,1.4335,1.471,-0.308634329,0.275936257,-9999,-9999,,-0.241922,,-0.0965104,0.225593,0.309643
200203,2.14863,2.20304,2.33815,2.54749,1.55296,1.32998,1.5587,1.59948,-0.017931003,0.358084606,-9999,-9999,,-0.141751,,0.124695,0.295966,0.392249
200204,2.29243,2.38712,2.69241,2.82955,3.03338,2.62406,3.03338,3.13221,0.949766433,1.103938567,-9999,-9999,,0.503635,,0.814295,1.04661,1.148
200205,4.74054,4.67594,5.03945,6.02969,2.25058,2.65553,2.94119,3.94449,3.236784226,1.998835097,-9999,-9999,,3.30813,,4.21218,2.08074,2.2595
200206,4.74487,4.70203,4.84888,5.03571,5.47764,4.73526,5.57899,7.04962,10.47402167,11.556694,-9999,-9999,,10.7341,,11.2351,10.1185,11.3126
200207,5.97587,5.80943,6.02525,7.14803,5.80747,5.89802,6.50076,7.42381,12.25479355,12.20240452,-9999,-9999,,12.4878,,14.0081,12.3267,12.9321
200208,4.29293,4.29977,4.46309,4.56805,5.81909,5.07347,5.28888,5.83569,9.568907097,11.18602613,-9999,-9999,,9.62881,,10.132,10.7875,11.1958
200209,5.61008,5.41799,5.84642,7.77761,4.01124,3.99407,4.89,5.61745,8.076425333,7.150946667,-9999,-9999,,8.18359,,9.39319,7.17217,7.89205
200210,3.20523,3.09349,3.32419,3.62549,1.75605,1.78288,2.16458,3.05337,2.848758581,2.394897968,-9999,-9999,,2.79984,,2.91259,2.43771,2.7451
200211,2.44418,2.37138,2.64658,2.88988,2.00034,1.87156,1.95528,2.02728,0.26996131,0.318463287,-9999,-9999,,0.255836,,0.303712,0.237045,0.304685
200212,2.02038,1.98669,2.06387,2.17915,3.34842,3.11034,3.24883,3.32202,0.042707803,0,-9999,-9999,,0.077986,,0.124656,0,0
200301,1.45379,1.42866,1.46212,1.52535,0.654663,0.654663,0.934128,1.24545,-0.007249386,0,-9999,-9999,,-0.0465056,,-0.00333545,0,0.0216328
200302,1.58527,1.55159,1.58682,1.68929,0.986947,0.986947,1.04063,1.05762,-0.006079632,0.000395566,-9999,-9999,,-0.0022041,,0.0302594,0.000648176,0.00216852
200303,1.44628,1.38814,1.45901,1.53723,1.40093,1.35069,1.40086,1.45863,0.149676126,0.278700872,-9999,-9999,,0.150526,,0.176646,0.254527,0.288402
200304,2.0653,2.00449,2.12735,2.31631,3.05567,2.94668,3.05567,3.35734,0.870251283,1.401911933,-9999,-9999,,0.893454,,1.11564,1.34478,1.61845
200305,2.90757,2.88916,2.913,3.00511,6.36509,4.70739,6.33751,6.46553,2.337651781,3.875961484,-9999,-9999,,2.31595,,2.38599,3.8375,4.1544
200306,6.75818,6.18082,6.54183,6.75829,6.07478,5.96701,6.19744,6.42764,10.76238033,10.40432233,-9999,-9999,,10.366,,10.8482,10.0161,10.8037
200307,6.14577,5.72572,6.01563,6.41638,5.40669,5.50567,6.09856,6.48498,12.66428806,12.83648774,-9999,-9999,,12.4247,,13.1139,12.8365,13.6465
200308,5.83549,5.69742,5.83538,6.06102,8.97325,9.08223,9.99097,11.4287,10.60018839,12.83206548,-9999,-9999,,10.1911,,10.6765,12.8784,13.6206
200309,4.17682,4.03537,4.14927,4.2399,6.03775,5.10851,5.4634,5.90799,6.995454333,8.476321,-9999,-9999,,6.99786,,7.4255,7.96079,8.78318
200310,3.38404,3.37475,3.40004,3.84476,7.8979,3.76493,5.13089,12.0959,2.202022068,5.714459032,-9999,-9999,,2.2783,,2.51535,5.28512,7.8806
200311,4.15258,3.87638,4.1301,4.15847,8.1388,3.47656,4.60983,11.2688,1.019324503,3.869680333,-9999,-9999,,0.563203,,0.98604,3.54052,5.57653
200312,1.84886,1.85354,1.87789,1.91432,7.19637,3.07219,3.85022,8.65276,0.140758177,4.024700323,-9999,-9999,,0.0811909,,0.145597,3.64126,5.78
200401,2.47561,2.44381,2.55375,2.81285,5.63037,4.67595,5.66215,5.71496,1.180819119,0.136110019,-9999,-9999,,1.04867,,1.40639,0.1383,0.251548
200402,1.43253,1.37973,1.4567,1.4621,1.44859,1.43694,1.43862,1.45103,-0.081829521,0.029667617,-9999,-9999,,-0.0837023,,-0.0481541,0.0292848,0.0337716
200403,1.75114,1.7392,1.76849,1.80908,1.54006,1.40559,1.59284,1.62486,0.355661674,0.170464997,-9999,-9999,,0.356589,,0.381833,0.130323,0.170896
200404,2.89012,2.89012,2.92185,3.01047,2.66305,2.26692,2.39594,2.60932,1.551408533,1.216145,-9999,-9999,,1.22204,,1.55141,1.11201,1.21196
200405,5.79389,5.71463,5.75807,5.79389,5.7646,5.27268,5.36776,5.7646,6.251302903,6.605277742,-9999,-9999,,6.11556,,6.22686,6.19002,6.41754
200406,5.31695,5.31695,5.36599,5.59238,4.69279,4.84319,5.27048,5.55363,11.406249,10.87313467,-9999,-9999,,11.358,,11.549,11.0229,11.4522
200407,5.91734,5.60836,6.07817,6.21708,6.56766,6.49422,7.07656,7.8373,12.76780774,13.2898629,-9999,-9999,,12.7586,,13.2824,12.7203,13.613
200408,5.1559,4.98482,5.15502,5.24484,6.05341,6.02824,6.27979,6.51528,11.22505484,11.79397806,-9999,-9999,,11.1522,,11.3073,11.7689,12.155
200409,4.16614,4.13764,4.26176,4.3221,4.91501,4.35015,4.66876,4.93659,8.291713,8.989471333,-9999,-9999,,8.22222,,8.32852,8.70528,9.00036
200410,2.77833,2.7799,2.82839,2.86471,2.73241,2.80739,2.85229,2.89251,3.116624774,3.333309387,-9999,-9999,,3.10564,,3.13803,3.34638,3.40187
200411,2.54867,2.48519,2.64607,2.71193,2.3298,2.19973,2.28453,2.31941,0.587733287,0.660186363,-9999,-9999,,0.587734,,0.628548,0.524703,0.631163
200412,1.32958,1.33267,1.46552,1.50858,1.93312,1.92232,1.93422,1.95134,-0.418369053,0.066922206,-9999,-9999,,-0.409008,,-0.355681,0.061693,0.0676889
200501,1.44842,1.4105,1.44842,1.57835,0.731029,0.731007,0.738974,0.740394,0.645047929,0.000900516,-9999,-9999,,0.331147,,0.642727,0.000900516,0.00248062
200502,0.998995,0.99631,1.01099,1.01771,1.1093,1.08824,1.10696,1.11076,-0.034005228,0.067549947,-9999,-9999,,-0.040257,,-0.0328397,0.0572784,0.0678725
200503,1.01354,1.00997,1.04529,1.10179,1.41277,1.42354,1.43214,1.46649,-0.076713609,0.136251144,-9999,-9999,,-0.0704271,,-0.0287859,0.146893,0.307536
200504,1.27544,1.2569,1.26429,1.26856,2.34886,2.21951,2.3491,2.48577,0.769608287,1.197689933,-9999,-9999,,0.754222,,0.769482,1.10775,1.27449
200505,2.41092,2.39822,2.41345,2.42291,3.04493,2.78239,2.98442,3.10394,2.229342484,2.738734516,-9999,-9999,,2.18406,,2.21657,2.55752,2.76013
200506,4.94185,4.93172,4.97086,5.12695,6.10185,6.21366,6.25872,6.29239,7.311058667,6.629936333,-9999,-9999,,7.2768,,7.35972,6.4684,6.7317
200507,6.87053,6.62703,6.79671,6.89345,4.67182,4.85608,5.04717,5.42041,12.12087871,10.09837258,-9999,-9999,,12.2143,,12.5107,10.137,10.5476
